cantera_index,sensitivity,cantera equation,cantera products,cantera reactants
0,-0.061584910000918314,H(9) + O2(4) <=> O(10) + OH(2),"{'O(10)': 1.0, 'OH(2)': 1.0}","{'H(9)': 1.0, 'O2(4)': 1.0}"
759,0.05579366258144774,BR(91) + HCO(18) <=> CO(16) + HBR(93),"{'CO(16)': 1.0, 'HBR(93)': 1.0}","{'BR(91)': 1.0, 'HCO(18)': 1.0}"
32,-0.026381012476012267,HCO(18) + M <=> CO(16) + H(9) + M,"{'CO(16)': 1.0, 'H(9)': 1.0}",{'HCO(18)': 1.0}
411,0.02416150374179296,BROH(8) (+M) <=> BR(91) + OH(2) (+M),"{'BR(91)': 1.0, 'OH(2)': 1.0}",{'BROH(8)': 1.0}
90,0.021967833189807155,CH3(20) + O(10) <=> CH2O(21) + H(9),"{'CH2O(21)': 1.0, 'H(9)': 1.0}","{'CH3(20)': 1.0, 'O(10)': 1.0}"
717,0.018547499473442898,H(9) + HBR(93) <=> BR(91) + H2(11),"{'BR(91)': 1.0, 'H2(11)': 1.0}","{'H(9)': 1.0, 'HBR(93)': 1.0}"
996,-0.014813274655635006,CH2(T)(19) + O2(4) <=> CHO2(230) + H(9),"{'CHO2(230)': 1.0, 'H(9)': 1.0}","{'CH2(T)(19)': 1.0, 'O2(4)': 1.0}"
412,0.014486767817704232,BR(91) + HO2(14) <=> HBR(93) + O2(4),"{'HBR(93)': 1.0, 'O2(4)': 1.0}","{'BR(91)': 1.0, 'HO2(14)': 1.0}"
29,0.014149324611991462,CO(16) + OH(2) <=> CO2(17) + H(9),"{'CO2(17)': 1.0, 'H(9)': 1.0}","{'CO(16)': 1.0, 'OH(2)': 1.0}"
36,-0.013656036762318184,HCO(18) + OH(2) <=> CO(16) + H2O(5),"{'CO(16)': 1.0, 'H2O(5)': 1.0}","{'HCO(18)': 1.0, 'OH(2)': 1.0}"
33,-0.013595103975611623,H(9) + HCO(18) <=> CO(16) + H2(11),"{'CO(16)': 1.0, 'H2(11)': 1.0}","{'H(9)': 1.0, 'HCO(18)': 1.0}"
1160,-0.012135451140823844,CHF2(83) + O2(4) <=> CF2O(50) + OH(2),"{'CF2O(50)': 1.0, 'OH(2)': 1.0}","{'CHF2(83)': 1.0, 'O2(4)': 1.0}"
